Channel,Best_Decay,R2,Adjusted_R2,RMSE,MAE,AIC,BIC
TV,0.8500000000000001,0.8781759287834537,0.8781482036875919,128.7365989038042,90.41321618690466,42713.50019431009,42726.277094941135
Salesforce,0.9,0.8628473859722872,0.8628161723596273,136.5958551854609,91.46569490661317,43234.497902049334,43247.27480268038
Instagram,0.9,0.8502730555605699,0.8502389802432191,142.7202039642118,99.51366816494294,43620.110573195016,43632.887473826064
Influencer,0.8500000000000001,0.8487312058996592,0.8486967796834325,143.45316984614902,101.33389477423901,43665.14795762955,43677.9248582606
Meta,0.9,0.8468896863703721,0.8468548410554815,144.32371514623966,100.39373244138677,43718.34095557031,43731.11785620136
Website,0.9,0.8349986527326765,0.834961101219871,149.8232528660076,100.20668265981661,44047.13965870132,44059.91655933237
Email,0.9,0.8313495148128373,0.831311132818029,151.4709238496367,102.44685734560753,44143.30127628248,44156.07817691353
