Channel,Best_Transformation,R2,Adjusted_R2,RMSE,MAE,AIC,BIC
TV,Negative_Exponential,0.8812510170959785,0.8812239918381487,127.10142686870356,88.20528290333975,42601.111676182816,42613.888576813864
Salesforce,Linear,0.8628473859722872,0.8628161723596273,136.5958551854609,91.46569490661317,43234.497902049334,43247.27480268038
Influencer,Negative_Exponential,0.8542474463915015,0.8542142755782087,140.81326322424,98.54013494234285,43501.84534013834,43514.622240769386
Instagram,Linear,0.8502730555605699,0.8502389802432191,142.7202039642118,99.51366816494294,43620.110573195016,43632.887473826064
Meta,Linear,0.8468896863703721,0.8468548410554815,144.32371514623966,100.39373244138677,43718.34095557031,43731.11785620136
Website,Linear,0.8349986527326765,0.834961101219871,149.8232528660076,100.20668265981661,44047.13965870132,44059.91655933237
Email,Negative_Exponential,0.8341957742677901,0.8341580400334405,150.18732228382092,101.0844748006688,44068.4782391235,44081.25513975455
